                                  Package    Version
stringr                           stringr      1.5.0
SummarizedExperiment SummarizedExperiment     1.28.0
sva                                   sva     3.46.0
svglite                           svglite      2.1.1
sys                                   sys      3.4.1
systemfonts                   systemfonts      1.0.4
tensor                             tensor        1.5
terra                               terra     1.6-47
testit                             testit       0.13
testthat                         testthat      3.1.6
textshaping                   textshaping      0.3.6
TH.data                           TH.data      1.1-1
tibble                             tibble      3.1.8
tidymodels                     tidymodels      1.0.0
tidyr                               tidyr      1.2.1
tidyselect                     tidyselect      1.2.0
tidytext                         tidytext      0.4.1
tidyverse                       tidyverse      1.3.2
timechange                     timechange      0.1.1
timeDate                         timeDate   4022.108
tinytex                           tinytex       0.43
tokenizers                     tokenizers      0.3.0
TTR                                   TTR     0.24.3
tufte                               tufte       0.12
tune                                 tune      1.0.1
tweenr                             tweenr      2.0.2
tximport                         tximport     1.26.1
tximportData                 tximportData     1.26.0
tzdb                                 tzdb      0.3.0
units                               units      0.8-1
urlchecker                     urlchecker      1.0.1
usdata                             usdata      0.2.0
usethis                           usethis      2.1.6
utf8                                 utf8      1.2.2
uuid                                 uuid      1.1-0
uwot                                 uwot     0.1.14
V8                                     V8      4.2.2
vctrs                               vctrs      0.5.1
viridis                           viridis      0.6.2
viridisLite                   viridisLite      0.4.1
visNetwork                     visNetwork      2.1.2
vroom                               vroom      1.6.0
waldo                               waldo      0.4.0
warp                                 warp      0.2.0
webshot                           webshot      0.5.4
whisker                           whisker      0.4.1
whoami                             whoami      1.3.0
withr                               withr      2.5.0
wk                                     wk      0.7.1
workflows                       workflows      1.1.2
workflowsets                 workflowsets      1.0.0
xaringan                         xaringan       0.28
xfun                                 xfun       0.36
XML                                   XML  3.99-0.13
xml2                                 xml2      1.3.3
xopen                               xopen      1.0.0
xtable                             xtable      1.8-4
xts                                   xts     0.12.2
XVector                           XVector     0.38.0
yaml                                 yaml      2.3.6
yardstick                       yardstick      1.1.0
yulab.utils                   yulab.utils      0.0.6
zip                                   zip      2.2.2
zlibbioc                         zlibbioc     1.44.0
zoo                                   zoo     1.8-11
base                                 base      4.2.2
boot                                 boot     1.3-28
class                               class     7.3-20
cluster                           cluster      2.1.4
codetools                       codetools     0.2-18
compiler                         compiler      4.2.2
datasets                         datasets      4.2.2
foreign                           foreign     0.8-83
graphics                         graphics      4.2.2
grDevices                       grDevices      4.2.2
grid                                 grid      4.2.2
KernSmooth                     KernSmooth    2.23-20
lattice                           lattice    0.20-45
MASS                                 MASS   7.3-58.1
Matrix                             Matrix      1.5-1
methods                           methods      4.2.2
mgcv                                 mgcv     1.8-41
nlme                                 nlme    3.1-160
nnet                                 nnet     7.3-18
parallel                         parallel      4.2.2
rpart                               rpart     4.1.19
spatial                           spatial     7.3-15
splines                           splines      4.2.2
stats                               stats      4.2.2
stats4                             stats4      4.2.2
survival                         survival      3.4-0
tcltk                               tcltk      4.2.2
tools                               tools      4.2.2
utils                               utils      4.2.2
